path,size,mtime,ext
venv\Lib\site-packages\pyarrow\_dataset.cp311-win_amd64.pyd,730112,1754637397.3683991,.pyd
venv\Lib\site-packages\google\_upb\_message.pyd,724707,1754637398.517001,.pyd
venv\Lib\site-packages\pandas\_libs\index.cp311-win_amd64.pyd,701440,1754637408.0349941,.pyd
venv\Lib\site-packages\pywin32_system32\pythoncom311.dll,672256,1754637971.699692,.dll
venv\Lib\site-packages\pandas\_libs\lib.cp311-win_amd64.pyd,656384,1754637408.0608964,.pyd
venv\Lib\site-packages\rpds\rpds.cp311-win_amd64.pyd,633344,1754637396.8616784,.pyd
venv\Lib\site-packages\numpy\random\mtrand.cp311-win_amd64.pyd,631808,1754637399.9599984,.pyd
scripts\auto_recovery_agent_files\57b18fa6-1928-4d6c-8464-c56cfd3faaa5.png,598238,1753957646.5898998,.png
venv\src\giwanos\scripts\auto_recovery_agent_files\57b18fa6-1928-4d6c-8464-c56cfd3faaa5.png,598238,1754637118.6091049,.png
venv\Lib\site-packages\pyarrow.libs\msvcp140-a118642f3ae8774fb9dc223e15c4a52e.dll,576128,1754637397.7676268,.dll
venv\Lib\site-packages\numpy.libs\msvcp140-a4c2229bdc2a2a630acdc095b4d86008.dll,575056,1754637400.3657696,.dll
venv\Lib\site-packages\pandas.libs\msvcp140-1a0962f2a91a74c6d7136a768987a591.dll,575056,1754637408.1668053,.dll
venv\Lib\site-packages\win32comext\shell\shell.pyd,535040,1754637971.9397602,.pyd
venv\Lib\site-packages\reportlab\fonts\DarkGarden.sfd,519634,1754637404.428562,.sfd
venv\Lib\site-packages\pyarrow\arrow_flight.lib,502618,1754637397.2582455,.lib
venv\src\giwanos\scripts\auto_recovery_agent_files\root-fsq9ehh8.css,494622,1754637117.5619216,.css
scripts\auto_recovery_agent_files\root-fsq9ehh8.css,494621,1753957645.8382514,.css
venv\Lib\site-packages\pandas\_libs\tslibs\timestamps.cp311-win_amd64.pyd,489472,1754637408.137881,.pyd
giwanos_file_structure.txt,483834,1754556074.9582143,.txt
venv\src\giwanos\giwanos_file_structure.txt,483834,1754637114.4905627,.txt
venv\Lib\site-packages\jiter\jiter.cp311-win_amd64.pyd,482816,1754637403.6408691,.pyd
venv\Lib\site-packages\pandas\core\generic.py,475380,1754637406.8798077,.py
venv\Lib\site-packages\pandas\_libs\tslibs\timedeltas.cp311-win_amd64.pyd,452608,1754637408.1338916,.pyd
venv\Lib\site-packages\pandas\core\frame.py,447493,1754637406.8778133,.py
venv\Lib\site-packages\pyarrow\_parquet.cp311-win_amd64.pyd,445440,1754637397.3993285,.pyd
venv\Lib\site-packages\streamlit\static\static\js\index.J2D_m7LY.js,432580,1754637418.4478714,.js
venv\Lib\site-packages\streamlit\static\static\media\SourceSerifVariable-Roman.ttf.mdpVL9bi.woff2,429100,1754637418.5121033,.woff2
fonts\Nanum_Gothic\NotoEmoji-Regular.ttf,418804,1754160996.9376967,.ttf
venv\src\giwanos\fonts\Nanum_Gothic\NotoEmoji-Regular.ttf,418804,1754637114.0272124,.ttf
venv\Lib\site-packages\streamlit\static\static\media\MaterialSymbols-Rounded.DsbC8sYI.woff2,414568,1754637418.5071168,.woff2
venv\Lib\site-packages\pyarrow\arrow_dataset.lib,413512,1754637397.2039418,.lib
venv\Lib\site-packages\numpy\_core\tests\test_multiarray.py,410953,1754637400.2022223,.py
venv\Lib\site-packages\PIL\_webp.cp311-win_amd64.pyd,409600,1754637398.8880458,.pyd
fonts\Nanum_Gothic\NotoSansSymbols2-Regular.otf,391136,1754192782.891861,.otf
venv\src\giwanos\fonts\Nanum_Gothic\NotoSansSymbols2-Regular.otf,391136,1754637114.438141,.otf
venv\Lib\site-packages\pandas\_libs\tslibs\period.cp311-win_amd64.pyd,383488,1754637408.1239178,.pyd
venv\Lib\site-packages\pyarrow\_fs.cp311-win_amd64.pyd,370688,1754637397.3870127,.pyd
